danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,time_signature_0,time_signature_1,time_signature_2,time_signature_3,time_signature_4,time_signature_5,mode_0,mode_1,key_1,key_2,key_3,key_4,key_5,key_6,key_7,key_8,key_9,key_10,key_11,clusters
0.209,0.418,-8.74,0.0338,0.163,0.00195,0.113,0.123,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,9
0.634,0.941,-6.103,0.0337,0.000297,0.000193,0.114,0.7929999999999999,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,8
0.48,0.561,-5.874,0.027000000000000003,0.317,0.006409999999999999,0.184,0.541,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8
0.645,0.825,-6.473,0.0273,0.163,0.0,0.114,0.6409999999999999,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2
0.56,0.652,-2.205,0.0328,0.743,0.0,0.488,0.611,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,4
0.667,0.902,-4.588,0.0988,0.00112,0.0,0.0624,0.7190000000000001,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,8
0.649,0.815,-3.796,0.0415,0.00125,4.31e-05,0.6709999999999999,0.765,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,4
0.589,0.227,-16.67,0.0498,0.64,0.00469,0.0248,0.182,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
0.5770000000000001,0.7490000000000001,-7.215,0.0279,0.599,0.0112,0.183,0.261,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,6
0.736,0.8170000000000001,-4.9,0.0407,0.00987,0.0016699999999999998,0.117,0.653,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,8
0.637,0.843,-5.4129999999999985,0.0432,0.0151,0.0,0.0876,0.434,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,8
0.614,0.899,-5.134,0.0292,0.0174,0.00415,0.303,0.725,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
0.754,0.8059999999999999,-4.767,0.0388,0.0346,0.0274,0.204,0.532,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,8
0.552,0.643,-7.36,0.0327,0.0364,0.74,0.105,0.212,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
0.35700000000000004,0.241,-12.366,0.0618,0.94,0.000129,0.353,0.227,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,7
0.481,0.635,-4.8660000000000005,0.0246,0.31,0.0,0.36,0.396,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,8
0.758,0.5539999999999999,-4.567,0.0341,0.0116,0.0,0.0418,0.7829999999999999,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,8
0.6920000000000001,0.422,-10.533,0.0333,0.0811,0.0,0.0848,0.468,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,3
0.603,0.67,-3.882,0.0249,0.004079999999999999,1.66e-06,0.112,0.445,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
0.867,0.857,-5.892,0.0663,0.13,0.00171,0.13,0.402,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,8
0.5589999999999999,0.7,-5.947,0.0337,0.00991,2.73e-06,0.126,0.361,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,8
0.6890000000000001,0.369,-9.407,0.0279,0.693,0.00234,0.111,0.362,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9
0.611,0.6920000000000001,-5.544,0.279,0.157,0.0,0.0902,0.544,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,8
0.727,0.736,-6.2029999999999985,0.0615,0.0743,0.0031100000000000004,0.0347,0.687,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2
0.613,0.564,-7.654,0.0309,0.257,5.06e-05,0.136,0.42,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2
0.64,0.743,-4.08,0.0379,0.269,0.0,0.101,0.361,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,4
0.236,0.249,-9.595,0.0348,0.8109999999999999,1e-06,0.087,0.181,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,9
0.7,0.7090000000000001,-5.006,0.0839,0.0048,0.0,0.0289,0.625,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,8
0.706,0.713,-5.5120000000000005,0.0301,0.0596,0.0,0.132,0.544,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0.6990000000000001,0.87,-4.925,0.0546,0.000532,0.0219,0.359,0.778,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8
0.664,0.8440000000000001,-3.672,0.0487,0.0499,0.0,0.364,0.377,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,4
0.423,0.46,-7.5870000000000015,0.0454,0.433,0.0,0.0701,0.266,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
0.588,0.684,-5.154,0.0288,0.508,0.0,0.141,0.121,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,8
0.551,0.836,-3.838,0.0524,0.00502,2.1e-05,0.0425,0.758,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
0.523,0.898,-6.765,0.0567,0.00491,0.0345,0.0746,0.355,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,6
0.732,0.198,-11.775,0.028,0.883,1.1e-05,0.0659,0.618,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,3
0.748,0.7859999999999999,-7.7879999999999985,0.0641,0.328,0.0,0.34,0.917,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,6
0.665,0.787,-5.73,0.151,0.308,0.0,0.219,0.6990000000000001,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,8
0.835,0.669,-5.582000000000002,0.0643,0.0336,6.92e-05,0.0535,0.542,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
