,artist,album,track,track_id
4868,Tuvaband,Unknown / (It's Not About) Running,(It's Not About) Running,6yeVAVnUskTNb3TutTaU64
4869,6LACK,Prblms,PRBLMS,5UHlYS1wowEFCzLLyhpcQ3
4870,Bishop Briggs,Be Your Love,Be Your Love,1Taq7PrHRF7dLCcHTRh2aj
4871,Will Joseph Cook,Sweet Dreamer,Sweet Dreamer,0WWmgicLa7z1PvOXTtSiYY
4872,How To Dress Well,Care,Can’t You Tell,2uIQsHHYREKIlJyAmNWbBT
4873,Danny Brown,Really Doe,Really Doe,6dNxhBjjZGmn8mBM6KrhtJ
4874,Goldroom,West Of The West,Breaks,6W0roLc9LMJe3LyZuxLoNZ
4875,BANNERS,Empires On Fire,Into The Storm,2eZskXFEMt2K1fvTsB9LSk
4876,Passenger,Young as the Morning Old as the Sea,If You Go,783ICUdmtVQgg1meszkCfS
4877,Savi,Breathe It In,Breathe It In - Radio Edit,0zfFpF13n1lQ7LoGTGXCUQ
4878,Lucius,Pulling Teeth,Pulling Teeth,2Egy8wZiDarR4F4h4dqKei
4879,IDER,King Ruby,King Ruby,64TVBhoIG4hcugkDy9J0gv
4880,Kevin Abstract,Empty - Single,Empty,4bE9SJT05EoFteXlgLAzLP
4881,Hunter Hayes,Yesterday's Song,Yesterday's Song,6hOHH3nj5VI7IskIUic0WQ
4882,Mackenzie Thoms,Shout,Shout,7cV11UE69pmujhVIzpHJA5
4883,Bloc Party,Stunt Queen,Stunt Queen,7BagW9v8W6AAMu43N9VLpa
4884,Shallou,Slow,Slow,7wdnMa7LLkM1nwgt1eP5RW
4885,Brayton Bowman,22 MINUTES LATER,WHAT'S REALLY GOOD?,0ANUEwsZahnBA83P8jG0ES
4886,Molly Moore,Imaginary Friends - Single,Imaginary Friends,70TAPl3LMZ38W1RzSmWH7t
4887,STRFKR,"Being No One, Going Nowhere",Open Your Eyes,6Xsb9aRVcplkXY4MPDOaS5
4888,NxWorries,Yes Lawd!,Lyk Dis,322vI2bPcLJeDxltXD9hzD
4889,Liv Dawson,Reflection,Reflection,4eaJO9wWl81U1Crx2jP63H
4890,The Barr Brothers,Secret City Records: 10 Years,Sometimes There's Wine,68Yehi4P8bUNnlAuWa34xG
4891,David Bowie,Who Can I Be Now? [1974 - 1976],Somebody Up There Likes Me - Alternative Gouster Mix,6MU3fkCOe3h2JiiKhao71x
4892,The Last Bandoleros,The Last Bandoleros - EP,I Don't Want to Know,4lpB0zNxSrDsUfT6YefLAl
4893,Felipe Muñiz,Deje de Amar,Deje de Amar,4SB87vYiWYWFg9ekXay2Fo
4894,Foreigner,Agent Provocateur,I Want to Know What Love Is - 1999 Remaster,1JLn8RhQzHz3qDqsChcmBl
4895,Foreigner,4 (Expanded),Waiting for a Girl like You,2OgVsp77En2nju8pnCieVU
4896,Foreigner,4 (Expanded),Juke Box Hero,00qOE7OjRl0BpYiCiweZB2
4897,Foreigner,Double Vision (Expanded),Hot Blooded,6xMHglHoafdDFGXS6qfwSH
4898,Foreigner,4 (Expanded),Urgent,08onVqQ8YicJ98Ycm1qoLf
4899,Foreigner,Double Vision (Expanded),Double Vision,0fsj3HxzBHev6EJ7OLFE3r
4900,Foreigner,No End in Sight: The Very Best of Foreigner,Feels like the First Time - 2008 Remaster,4kgGJcXALI1ppNA4NdkTw9
4901,Foreigner,Agent Provocateur,That Was Yesterday,4nwUQZbmWMkYzKrXgWRIEw
4902,Foreigner,I Want to Know What Love Is (feat. Nate Ruess),I Want to Know What Love Is (feat. Nate Ruess),6ChtaP0U6TVESknkBwB9Wk
4903,The Format,EP,The First Single,495BiaNeaqEdLrHXoFJPcq
4904,The Format,Interventions and Lullabies,On Your Porch,3Ho1fz8s0zvJFfJuQzNKvu
4905,The Format,Interventions and Lullabies,The First Single (You Know Me),38tpawuPzka8PZjo1V9RUE
4906,The Format,Dog Problems (Bonus Track Version),She Doesn't Get It,28yWY87aaMjDxRVdJB0lLe
4907,Tori Amos,Flicker,Flicker,0veEUjIZ6dKoUjhOxrJR8j
4908,Tori Amos,Under the Pink,Cornflake Girl,1300POeOaj8qho30FRHjgf
4909,Tori Amos,Little Earthquakes (Deluxe Edition),Smells Like Teen Spirit - 2015 Remaster,1kWqRB6PHLM9QTfaXuHpIV
4910,Tori Amos,Boys For Pele (Deluxe),Professional Widow - 2016 Remaster,7xduZpxWTAnxeBFQGbHWTa
4911,Tori Amos,Scarlet's Walk,A Sorta Fairytale,7Kwmac3lkTQ8tPyAVQ0L8G
4912,Tori Amos,Little Earthquakes (Deluxe Edition),China - 2015 Remaster,1dbCaEDlJCpLpxwZNY2Zrv
4913,Tori Amos,Little Earthquakes (Deluxe Edition),Winter - 2015 Remaster,11dfOCV0oBxzZ9fi2PZhvS
4914,Tori Amos,Little Earthquakes (Deluxe Edition),Crucify - 2015 Remaster,6DVySQASssOCxJOyWMY1jW
4915,Tori Amos,Boys For Pele (Deluxe),Caught a Lite Sneeze - 2016 Remaster,2k2Nwz0FLUIKl7UyavRhjx
4916,Tori Amos,From The Choir Girl Hotel,Spark,7bG5NDhlrDel1aNofKPNf6
4917,Passenger,Flight of the Crow,Shape of Love,6eQYZ57P28uc8caJagxYcZ
4918,Passenger,Whispers II,Fear of Fear,17VHkJ5zeQBRHL3i0J0jT8
4919,Passenger,Somebody's Love,Somebody's Love - Single Version,2xLtuoLYuqzjj26VVKDF8z
4920,Passenger,Whispers II,Catch in the Dark,4M75a1sblkwmeD9pfgxE1v
4921,Passenger,Whispers II,A Thousand Matches,28ENK6HpSmtc4JUljxZqe5
4922,Passenger,Whispers II,The Way That I Need You,51kLX0Enc7K0WkTtd8DJz4
4923,Passenger,Whispers II,Travelling Alone,7wQVIel0NfQK9IMO7tDEN8
4924,Passenger,Young as the Morning Old as the Sea,Young as the Morning Old as the Sea,170sne6Q3FktcEFxfK6oTR
4925,Passenger,Young as the Morning Old as the Sea,Beautiful Birds (feat. Birdy),4K9YS0nkXZMgV0F9JQoirx
4926,The Weeknd,Starboy,Starboy,7MXVkk9YMctZqd1Srtv4MB
4927,Michael Bublé,Nobody But Me (Deluxe Version),On an Evening in Roma (Sott'er Celo de Roma),4JEC2RIrXV1owJNVKanIAT
4928,Aloe Blacc,The Time Is Now!,Billie Jean,4BRDoGoYyU6Dr49rbXnmKG
4929,R.E.M.,Out Of Time (25th Anniversary Edition),Fretless 1 - Demo,6Gu5s6TX9MMK9OpXMt73JL
4930,Twenty One Pilots,Cancer,Cancer,19W5OTEcQI3ZoRW1HERMyy
4931,Grouplove,Big Mess,Don't Stop Making It Happen,1Tcd9flKIOxXWqR28aDP3U
4932,Olly Murs,You Don't Know Love (Acoustic),You Don't Know Love - Acoustic,55C7j1LJyZtnnWKXLFaIeo
4933,Colbie Caillat,Like Tomorrow Never Comes,Like Tomorrow Never Comes,7pFSMta72T74cvZ8byKABQ
4934,Bon Jovi,This House Is Not For Sale,This House Is Not For Sale,4EcFiXdtuKbUwPB5XgTk4Z
4935,Aloe Blacc,Lift Your Spirit,Ticking Bomb,71GzUmdpoVsIL2djM1Ib81
4936,Aloe Blacc,Live My Life,Live My Life,6NX246tBcb6XmVda0wEgi4
4937,Colbie Caillat,Goldmine,Goldmine,20daJNRk63gyzXTcZW5dwU
4938,Proleter,Curses from Past Times EP,Faidherbe Square,2hHNFmRgj2KUCeCcJH0QLP
4939,Proleter,Rookie EP,Throw It Back (feat. Taskrok),4xJfjJFbcgAs3AG60XT2zj
4940,Proleter,Feeding the Lions EP,Can't Stop Me,0Ff3LWisIPIlRegEKr1fKx
4941,Proleter,Feeding the Lions EP,It Don't Mean a Thing,06SN95lC2QIwGchwTSQNY6
4942,KT Tunstall,Eye To The Telescope,Other Side Of The World,4A9E08l34BkPsCDAmOpHxb
4943,KT Tunstall,KT Tunstall's Acoustic Extravaganza,Universe & U - Acoustic Extravaganza Version,3GZys0sGPNLHA9M3coafQa
4944,KT Tunstall,"Should I Stay Or Should I Go (From The TV Show ""Wicked City"")","Should I Stay Or Should I Go - From The TV Show ""Wicked City""",04wrnpT0QumuU3GPWbf0VV
4945,KT Tunstall,Drastic Fantastic,Hold On,2VvrHkjxwsLvouNMsUHykT
4946,KT Tunstall,Eye To The Telescope,Universe & U,00b4fX1wQnsRnsUJ1XW0q3
4947,KT Tunstall,KIN,Maybe It's A Good Thing,36pdWF4Ry6VhvtCruYnrOE
4948,KT Tunstall,Eye To The Telescope,Under The Weather,4Y0cX5tIVS9doevnTu4hkl
4949,Gary Jules,Trading Snakeoil for Wolftickets,Mad World (Feat. Michael Andrews),3JOVTQ5h8HGFnDdp4VT3MP
4950,Tritonal,Painting With Dreams,Broken,1PlsFZZAriYuxakoyZ6prs
4951,Adam Lambert,For Your Entertainment,For Your Entertainment,0BmT0BVnYYggf7V4NCtx2B
4952,Adam Lambert,The Original High (Deluxe Version),The Original High,1dDNwycG2dieopO6IZ8i4u
4953,Adam Lambert,Acoustic Live!,Whataya Want from Me - Live at ENERGY Berlin 103.4,1xcxzCeF86LD3mFh36Ou4S
4954,Laleh,Kristaller,Work,4pFzYTXpwWkC30noTQwqGf
4955,Laleh,Speaking Of Truth (Orchestrated),Speaking Of Truth - Orchestrated,1hpjW2TTR6uyEU9thrk6KW
4956,Laleh,Boom,Some Die Young,65Ve3XLglW5xSYVFnnm5mI
4957,Laleh,Kristaller,Bara Få Va Mig Själv,22sxprFgWzvVY4ToELTmOV
4958,Laleh,Boom,Colors,3MR0UR0ACR5dmhRVMiEuMF
4959,Laleh,Boom,Boom,2jqaxOtKdhAda0Ow6qYPiz
4960,Laleh,Kristaller,Aldrig Bli Som Förr,2860XD2KG38E0MKbJEMM1b
4961,Laleh,Chiquitita,Chiquitita,55fWq35wFJWkLXgcfJpPIn
4962,Laleh,Kristaller,Move On,2Kgb5kiaQBOZALCUW9WMz0
4963,Oasis,(What's the Story) Morning Glory?,Wonderwall,2tDz0gabkgCjFE34CWvwrl
4964,Smash Mouth,Astro Lounge,All Star,3cfOd4CMv2snFaKAnMdnvK
4965,Destiny's Child,The Writing's On The Wall,Say My Name,2gSyc23Hua25fqSFpgAh6W
4966,Red Hot Chili Peppers,Blood Sugar Sex Magik (Deluxe Edition),Under the Bridge,3d9DChrdc6BOeFsbrZ3Is0
4967,Shaggy,Hot Shot,It Wasn't Me,3WkibOpDF7cQ5xntM1epyf
4968,Nirvana,Nevermind (Deluxe Edition),Come As You Are,0MKGH8UMfCnq5w7nG06oM5
4969,Fugees,The Score (Expanded Edition),Killing Me Softly With His Song,0Q0IVlqMV64kNLlwjPj0Hl
4970,Haddaway,The Album,"What Is Love - 7"" Mix",2IHaGyfxNoFPLJnaEg4GTs
4971,Will Smith,Big Willie Style,Gettin' Jiggy Wit It,0weAUscowxeqDtpCgtbpgp
4972,Vanilla Ice,Vanilla Ice Is Back! - Hip Hop Classics,Ice Ice Baby,3XVozq1aeqsJwpXrEZrDJ9
4973,Eric Clapton,Unplugged (Deluxe Edition),"Tears in Heaven - Acoustic; Live at MTV Unplugged, Bray Film Studios, Windsor, England, UK, 1/16/1992; 2013 Remaster",612VcBshQcy4mpB2utGc3H
4974,Vengaboys,Greatest Hits!,"Boom, Boom, Boom, Boom!!",65OXGbKBQ8gUyJvUd0jNpf
4975,Alannah Myles,Alannah Myles,Black Velvet,1KU5EHSz04JhGg3rReGJ0N
4976,Guns N' Roses,Use Your Illusion I,November Rain,3YRCqOhFifThpSRFJ1VWFM
4977,Deep Blue Something,Home,Breakfast At Tiffany's,3GpdNg7Krt9vjc6tgDoKe1
4978,Culture Beat,Mr. Vain,Mr. Vain - Original Radio Edit,4ih3dyFZoeTdaeJW9mPbOI
4979,Inner Circle,Blazzin' Fire,Sweat (A La La La La Long),1SssFw74DdHVjRa6ADggdD
4980,Alice DJ,Who Needs Guitars Anyway?,Better Off Alone,0pMUR7Uvp6vxlbG0qBFvgM
4981,U2,Achtung Baby (Deluxe Edition),One,3G69vJMWsX6ZohTykad2AU
4982,Mr. Big,Lean Into It [Expanded],To Be With You - 2010 Remastered Version,3Mmt6Xk0H6VR92PEp6x3hP
4983,Big Mountain,The Best Of Big Mountain,"Baby, I Love Your Way",1Rvl8qsKJurfFTyWLBI9ib
4984,Edwyn Collins,Gorgeous George,A Girl Like You,6XOINCZBv8Q7RXgNNiTwIN
4985,Christina Aguilera,Christina Aguilera (Expanded Edition),Genie In a Bottle,11mwFrKvLXCbcVGNxffGyP
4986,Ace of Base,The Sign (US Album) [Remastered],The Sign,0hrBpAOgrt8RXigk83LLNE
4987,Fools Garden,Dish Of The Day,Lemon Tree,4fXGWiVhlOLdhwRDP6pIFG
4988,Lenny Kravitz,5,Fly Away,1OxcIUqVmVYxT6427tbhDW
4989,Salt-N-Pepa,"Hot, Cool & Vicious",Push It,6sT9MWlJManry3EQwf4V80
4990,Salt-N-Pepa,Very Necessary,Whatta Man,7sJN693sYKEIEMu7fc5VnJ
4991,Salt-N-Pepa,Blacks' Magic,Let's Talk About Sex,6hTBP6QLwJdxbKyLlLXrGo
4992,Michael Kiwanuka,The Get Down: Original Soundtrack From The Netflix Original Series (Deluxe Version),Rule The World (I Came From the City),7a9ug67S8DG7hxxZroCZEm
4993,Miguel,The Get Down: Original Soundtrack From The Netflix Original Series (Deluxe Version),Cadillac,7sf0tmuGZlHXUWpi9dQqcw
4994,Raury,The Get Down: Original Soundtrack From The Netflix Original Series (Deluxe Version),Losing Your Mind,3JMiQQgzRdpDDStsEMcehW
4995,Michael Kiwanuka,The Get Down: Original Soundtrack From The Netflix Original Series (Deluxe Version),Black Man in A White World (Ghetto Gettysburg Address),3Xp9eJV7ke7qDkLO5is6k9
4996,Malay,The Get Down: Original Soundtrack From The Netflix Original Series (Deluxe Version),Shaolin's Theme / Pray,1hpyaoaFbVppDw7WLg36tE
4997,Leon Bridges,The Get Down: Original Soundtrack From The Netflix Original Series (Deluxe Version),Ball Of Confusion,4NGIFPlQ7V9f3KOinhof4v
4998,Lyn Collins,The Get Down: Original Soundtrack From The Netflix Original Series (Deluxe Version),Think (About It),4HiJm8eVOH1Uj0PGYCbL1M
4999,Fatback Band,The Get Down: Original Soundtrack From The Netflix Original Series (Deluxe Version),(Are You Ready) Do The Bus Stop / Suga,7hk2HLfsYjLPqqmgSjH1EQ
5000,Christina Aguilera,The Get Down: Original Soundtrack From The Netflix Original Series (Deluxe Version),Telepathy,5vY0eZdiJSgEkIJN96y4MN
