,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
4297,0.751,0.696,4,-6.027,1,0.0657,0.00618,0.00258,0.107,0.446,121.0,audio_features,2xNrYyRQTz6hgTFb9KG1et,spotify:track:2xNrYyRQTz6hgTFb9KG1et,https://api.spotify.com/v1/tracks/2xNrYyRQTz6hgTFb9KG1et,https://api.spotify.com/v1/audio-analysis/2xNrYyRQTz6hgTFb9KG1et,203360,4
4298,0.505,0.582,7,-7.844,0,0.146,0.0187,0.0,0.0659,0.371,145.99,audio_features,7hMqz88kcK2Tx6wBka9INF,spotify:track:7hMqz88kcK2Tx6wBka9INF,https://api.spotify.com/v1/tracks/7hMqz88kcK2Tx6wBka9INF,https://api.spotify.com/v1/audio-analysis/7hMqz88kcK2Tx6wBka9INF,268973,4
4299,0.388,0.836,7,-3.269,1,0.231,0.161,0.0,0.936,0.353,76.305,audio_features,7fJALFBexDXzu0QdatF5O4,spotify:track:7fJALFBexDXzu0QdatF5O4,https://api.spotify.com/v1/tracks/7fJALFBexDXzu0QdatF5O4,https://api.spotify.com/v1/audio-analysis/7fJALFBexDXzu0QdatF5O4,214632,4
4300,0.128,0.991,11,-3.289,1,0.0582,1.11e-05,0.00362,0.219,0.53,186.124,audio_features,0QV3swr7L8MZr72lL2izV1,spotify:track:0QV3swr7L8MZr72lL2izV1,https://api.spotify.com/v1/tracks/0QV3swr7L8MZr72lL2izV1,https://api.spotify.com/v1/audio-analysis/0QV3swr7L8MZr72lL2izV1,189347,4
4301,0.466,0.213,9,-13.168,0,0.116,0.287,0.00464,0.115,0.155,75.015,audio_features,0R4ZIyB0wMl4rVN8MLZsbk,spotify:track:0R4ZIyB0wMl4rVN8MLZsbk,https://api.spotify.com/v1/tracks/0R4ZIyB0wMl4rVN8MLZsbk,https://api.spotify.com/v1/audio-analysis/0R4ZIyB0wMl4rVN8MLZsbk,250480,4
4302,0.641,0.637,3,-9.43,0,0.0579,0.794,0.0515,0.131,0.601,138.869,audio_features,4k5UZm89ZX0YAHUp55zpt9,spotify:track:4k5UZm89ZX0YAHUp55zpt9,https://api.spotify.com/v1/tracks/4k5UZm89ZX0YAHUp55zpt9,https://api.spotify.com/v1/audio-analysis/4k5UZm89ZX0YAHUp55zpt9,319273,4
4303,0.691,0.883,11,-1.326,0,0.0488,0.318,2.45e-05,0.0742,0.606,109.982,audio_features,1gwwNLcYQRnzvkBhwDjUX3,spotify:track:1gwwNLcYQRnzvkBhwDjUX3,https://api.spotify.com/v1/tracks/1gwwNLcYQRnzvkBhwDjUX3,https://api.spotify.com/v1/audio-analysis/1gwwNLcYQRnzvkBhwDjUX3,174545,4
4304,0.452,0.819,6,-3.02,1,0.0526,0.000441,0.0423,0.141,0.662,156.846,audio_features,4rrqU96CxRTeKGt342pRsN,spotify:track:4rrqU96CxRTeKGt342pRsN,https://api.spotify.com/v1/tracks/4rrqU96CxRTeKGt342pRsN,https://api.spotify.com/v1/audio-analysis/4rrqU96CxRTeKGt342pRsN,207894,4
4305,0.534,0.888,3,-4.136,1,0.0814,0.0562,0.037,0.645,0.797,116.911,audio_features,1SbWuVB0XihM2Bjbbkap3D,spotify:track:1SbWuVB0XihM2Bjbbkap3D,https://api.spotify.com/v1/tracks/1SbWuVB0XihM2Bjbbkap3D,https://api.spotify.com/v1/audio-analysis/1SbWuVB0XihM2Bjbbkap3D,223077,4
4306,0.448,0.936,8,-4.098,1,0.0907,0.169,0.00602,0.166,0.39,168.109,audio_features,5ZRnIiMmFWwT0LHP1TQ2rf,spotify:track:5ZRnIiMmFWwT0LHP1TQ2rf,https://api.spotify.com/v1/tracks/5ZRnIiMmFWwT0LHP1TQ2rf,https://api.spotify.com/v1/audio-analysis/5ZRnIiMmFWwT0LHP1TQ2rf,184307,4
4307,0.616,0.811,6,-4.232,0,0.0427,0.0086,0.0,0.273,0.63,102.014,audio_features,3mVQUlrhWN5Z1i1HUhU8ZH,spotify:track:3mVQUlrhWN5Z1i1HUhU8ZH,https://api.spotify.com/v1/tracks/3mVQUlrhWN5Z1i1HUhU8ZH,https://api.spotify.com/v1/audio-analysis/3mVQUlrhWN5Z1i1HUhU8ZH,217087,4
4308,0.575,0.884,9,-4.367,1,0.0488,0.00638,0.0,0.111,0.381,116.0,audio_features,64NVMMahIsSb57WRxvkawI,spotify:track:64NVMMahIsSb57WRxvkawI,https://api.spotify.com/v1/tracks/64NVMMahIsSb57WRxvkawI,https://api.spotify.com/v1/audio-analysis/64NVMMahIsSb57WRxvkawI,282840,4
4309,0.566,0.354,1,-8.01,1,0.029,0.822,0.00201,0.0768,0.288,89.943,audio_features,6CTTipcCa8RZX8aY0mttHa,spotify:track:6CTTipcCa8RZX8aY0mttHa,https://api.spotify.com/v1/tracks/6CTTipcCa8RZX8aY0mttHa,https://api.spotify.com/v1/audio-analysis/6CTTipcCa8RZX8aY0mttHa,264587,4
